BCID_Bayes	s_mean(1/cycle)	s_std(1/cycle)	called_timepoint
4212	0.24003413007208646	0.054140166510809	5
4227	0.2097908737311118	0.045565848094712376	8
4296	0.17494832821188092	0.04037302404797226	9
4439	0.22627070689396306	0.05059067443381064	6
4484	0.16638466636931334	0.0414460461866245	8
4492	0.23903358780739592	0.058780241365144884	9
4497	0.22275331442486712	0.05180748621380668	7
4538	0.2542204089516371	0.04063718433906903	9
4570	0.1693777264517253	0.03178995077414691	9
4573	0.19254929436503943	0.04787173143592816	8
4613	0.1889092296989785	0.044199976848443595	7
4638	0.15070239363848756	0.03671951970614736	6
4737	0.17954458226277156	0.04472721120222172	6
4747	0.27321292666689106	0.06578689637281948	8
4861	0.25393147678934674	0.054576210744382965	6
4866	0.11563315142299252	0.025436432365837484	9
4981	0.35012917842767266	0.06847183687258081	9
5157	0.25334840778937345	0.05221178612212334	6
5178	0.29401862576978366	0.053282292251351476	9
5181	0.1348188729019551	0.031408140408483366	9
5217	0.2639200892365044	0.053240060048112825	6
5322	0.19670918485261377	0.04820397912900588	8
5332	0.1347957604404336	0.028407476337601854	8
5371	0.16418668154816665	0.03582450519782389	9
5452	0.16894206236613762	0.04210455517408716	8
5510	0.2241110763148557	0.049349829982235076	6
5513	0.12297192360311572	0.028710441882174677	9
5560	0.26050064592223726	0.06160880094757086	5
5592	0.20881643980787443	0.05143304048110285	6
5685	0.2810208440312177	0.0632953462176203	6
5699	0.26731506272546174	0.06501056404891911	5
5724	0.23025654876174503	0.04746912518603141	8
5757	0.3190376739774214	0.06580722028071533	5
5780	0.25464315513430247	0.06279621113756828	7
5828	0.19037230156249663	0.03985577448933618	8
5871	0.23859264353455484	0.03903094391417055	9
6110	0.39824471533737144	0.0875786215517076	5
6160	0.10627445796995007	0.01519750559645722	9
6176	0.3046976683166687	0.06300276225791188	7
6217	0.11518854916152702	0.0168904825009421	8
6224	0.18947737441877835	0.044078417085012526	6
6364	0.22579987956334885	0.05047694058607204	7
6442	0.19998672996260405	0.0333871332512455	9
6464	0.17277830834364896	0.03422044369546039	9
6554	0.3848520194369081	0.09380888289860619	6
6623	0.2246320807413892	0.05368862825659933	7
6642	0.19614947277732525	0.03920344022171297	9
